S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
101,#119 Combo Of 5 Sansevieria,Sansevieria (Combo),"Rs. 1,150.00",https://fermosaplants.com/collections/sansevieria/products/119-combo-of-5-sansevieria,False,Combo,"['Bao Dam', 'Adventus', 'Black Ants', 'Jatayu', 'Black Mlandi']",5
102,Sansevieria Cordova Variegated,Cordova Variegated,Rs. 699.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-cordova-variegated,True,Plant,[],1
103,Sansevieria Chao Pharya Large Plant,Sansevieria Chao Pharya,"Rs. 1,499.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-chao-pharya-large-plant-1,False,Plant,[],1
104,Sansevieria Cinta Large Plant,Sansevieria Cinta Large Plant,"Rs. 2,299.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-cinta-large-plant,False,Plant,[],1
105,Sansevieria Chao Pharya Large Plant,Sansevieria Chao Pharya,"Rs. 1,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-chao-pharya-large-plant,False,Plant,[],1
106,Sansevieria Flamingo,Sansevieria Flamingo,Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-flamingo,False,Plant,[],1
107,#114 Combo Of 3 Sanseveria,Sansevieria (Combo),"Rs. 1,199.00",https://fermosaplants.com/collections/sansevieria/products/114-combo-of-3-sanseveria,False,Combo,"['Green Arrow', 'Black Gold Compacta', 'Nelsonii Banded']",3
108,Sansevieria Combo Offer Of 4 (Y),Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-4-y,False,Combo,"['Star Dust', 'Sengukuni', 'Ravana', 'Phanphet']",4
109,Sansevieria Combo (X) Offer Of 5 Variegated Sansevieria,Sansevieria (Combo),"Rs. 1,750.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-x-offer-of-5-variegated-sansevieria-1,True,Combo,"['Florida H13 Var', 'Uganda Black Var', 'Fernwood Var', 'Sulcata Var', 'Stella Var']",5
110,Combo Of Eight Indonesian Hybrids Of Sansevieria Named On Hindu Gods And Godesses And From Hindu Mythology,Sansevieria (Combo),"Rs. 2,999.00",https://fermosaplants.com/collections/sansevieria/products/combo-of-eight-indonesian-hybrids-of-sansevieria-named-on-hindu-gods,False,Combo,"['Aswathama', 'Sri Rama', 'Sinta Named On Goddness\xa0Seeta Of Ramayana', 'Jatayu', 'Ravana Ex Thailand', 'Prabhu', 'Rahwana Ex Indonesia And That', 'Sengkuni Or Shakuni Of Mahabharatha']",8
